question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many dollars of bitcoin does Natalie have?,How many dollars of bitcoin does Matthew have now?,Matthew has 20 dollars of bitcoin. Matthew has 7 dollars of bitcoin more than Natalie.,Matthew has 20 dollars of bitcoin. Matthew gave Natalie 7 dollars of bitcoin.,Matthew has 20 dollars of bitcoin. Matthew has 7 dollars more of bitcoin than Natalie. How many dollars of bitcoin does Natalie have?,Matthew has 20 dollars of bitcoin. Matthew gave Natalie 7 dollars of bitcoin. How many dollars of bitcoin does Matthew have now?,13
How many mouses does Abigail have totaled?,How many mouses does Scarlett have totaled now?,Scarlett has 20 mouses. Scarlett has 9 more mouses than Jackson. Jackson has 8 more mouses than Sofia. Abigail has 5 more mouses than Sofia.,Scarlett has 20 mouses. Scarlett gave 9 mouses to Jackson. Scarlett gave 8 mouses to Sofia. Abigail gave Scarlett 5 mouses.,Scarlett has 20 mice. Scarlett has 9 more mice than Jackson. Jackson has 8 more mice than Sofia. Abigail has 5 more mice than Sofia. How many mice does Abigail have in total?,Scarlett has 20 mice. Scarlett gave 9 mice to Jackson. Scarlett gave 8 mice to Sofia. Abigail gave Scarlett 5 mice. How many mice does Scarlett have in total now?,8
What is the number of green washing machines that Ella has?,What is the number of green washing machines that John has now?,John has 19 green washing machines. Andrew has 6 fewer green washing machines than John. David has 7 more green washing machines than Andrew. Avery has 13 fewer green washing machines than David. Elijah has 15 more green washing machines than Avery. Elijah has 16 fewer green washing machines than Ella.,John has 19 green washing machines. John gave Andrew 6 green washing machines. David gave John 7 green washing machines. John gave Avery 13 green washing machines. Elijah gave John 15 green washing machines. Ella gave John 16 green washing machines.,John has 19 green washing machines. Andrew has 6 fewer green washing machines than John. David has 7 more green washing machines than Andrew. Avery has 13 fewer green washing machines than David. Elijah has 15 more green washing machines than Avery. Elijah has 16 fewer green washing machines than Ella. What is the number of green washing machines that Ella has?,John has 19 green washing machines. John gave Andrew 6 green washing machines. David gave John 7 green washing machines. John gave Avery 13 green washing machines. Elijah gave John 15 green washing machines. Ella gave John 16 green washing machines. What is the number of green washing machines that John has now?,38
What is the number of orange televisions that Avery has?,What is the number of orange televisions that Samuel has now?,Samuel has 8 orange televisions. Samuel has 18 fewer orange televisions than Nathan. Nathan has 16 more orange televisions than Avery.,Samuel has 8 orange televisions. Nathan gave Samuel 18 orange televisions. Samuel gave Avery 16 orange televisions.,Samuel has 8 orange televisions. Samuel has 18 fewer orange televisions than Nathan. Nathan has 16 more orange televisions than Avery. What is the number of orange televisions that Avery has?,Samuel has 8 orange televisions. Nathan gave Samuel 18 orange televisions. Samuel gave Avery 16 orange televisions. What is the number of orange televisions that Samuel has now?,10
What is the number of yellow mirrors that Natalie has?,What is the number of yellow mirrors that Samuel has now?,Samuel has 10 yellow mirrors. Ella has 3 fewer yellow mirrors than Samuel. Ella has 3 fewer yellow mirrors than Joshua. Joshua has 4 more yellow mirrors than Mia. Mia has 5 more yellow mirrors than Natalie.,Samuel has 10 yellow mirrors. Samuel gave Ella 3 yellow mirrors. Joshua gave Samuel 3 yellow mirrors. Samuel gave Mia 4 yellow mirrors. Samuel gave Natalie 5 yellow mirrors.,Samuel has 10 yellow mirrors. Ella has 3 fewer yellow mirrors than Samuel. Ella has 3 fewer yellow mirrors than Joshua. Joshua has 4 more yellow mirrors than Mia. Mia has 5 more yellow mirrors than Natalie. What is the number of yellow mirrors that Natalie has?,Samuel has 10 yellow mirrors. Samuel gave Ella 3 yellow mirrors. Joshua gave Samuel 3 yellow mirrors. Samuel gave Mia 4 yellow mirrors. Samuel gave Natalie 5 yellow mirrors. What is the number of yellow mirrors that Samuel has now?,1
What is the number of small knifes that Henry has?,What is the number of small knifes that Jonathan has now?,Jonathan has 9 small knifes. Jonathan has 6 more small knifes than Lily. Lily has 17 fewer small knifes than Evelyn. Evelyn has 7 more small knifes than Emma. Elijah has 11 fewer small knifes than Emma. Henry has 17 more small knifes than Elijah.,Jonathan has 9 small knifes. Jonathan gave Lily 6 small knifes. Evelyn gave Jonathan 17 small knifes. Jonathan gave Emma 7 small knifes. Jonathan gave Elijah 11 small knifes. Henry gave Jonathan 17 small knifes.,Jonathan has 9 small knives. Jonathan has 6 more small knives than Lily. Lily has 17 fewer small knives than Evelyn. Evelyn has 7 more small knives than Emma. Elijah has 11 fewer small knives than Emma. Henry has 17 more small knives than Elijah. What is the number of small knives that Henry has?,Jonathan has 9 small knives. Jonathan gave Lily 6 small knives. Evelyn gave Jonathan 17 small knives. Jonathan gave Emma 7 small knives. Jonathan gave Elijah 11 small knives. Henry gave Jonathan 17 small knives. What is the number of small knives that Jonathan has now?,19
How many gallons of oil does Emma have?,How many gallons of oil does Christopher have now?,Christopher has 17 gallons of oil. Sophia has 6 gallons of oil less than Christopher. Lily has 12 gallons of oil more than Sophia. Isabella has 8 gallons of oil more than Lily. Emma has 2 gallons of oil less than Isabella.,Christopher has 17 gallons of oil. Christopher gave Sophia 6 gallons of oil. Lily gave Christopher 12 gallons of oil. Isabella gave Christopher 8 gallons of oil. Christopher gave Emma 2 gallons of oil.,Christopher has 17 gallons of oil. Sophia has 6 gallons less oil than Christopher. Lily has 12 gallons more oil than Sophia. Isabella has 8 gallons more oil than Lily. Emma has 2 gallons less oil than Isabella. How many gallons of oil does Emma have?,Christopher has 17 gallons of oil. Christopher gave Sophia 6 gallons of oil. Lily gave Christopher 12 gallons of oil. Isabella gave Christopher 8 gallons of oil. Christopher gave Emma 2 gallons of oil. How many gallons of oil does Christopher have now?,29
How many bottles does David have?,How many bottles does Abigail have now?,Abigail has 19 bottles. Abigail has 5 more bottles than Sophia. Sophia has 2 more bottles than David.,Abigail has 19 bottles. Abigail gave Sophia 5 bottles. Abigail gave 2 bottles to David.,Abigail has 19 bottles. Abigail has 5 more bottles than Sophia. Sophia has 2 more bottles than David. How many bottles does David have?,Abigail has 19 bottles. Abigail gave Sophia 5 bottles. Abigail gave 2 bottles to David. How many bottles does Abigail have now?,12
How many bottles does Emily have totaled?,How many bottles does Christopher have in their collection now?,Christopher has 20 bottles. Ella has 14 fewer bottles than Christopher. Emily has 12 more bottles than Ella.,Christopher has 20 bottles. Christopher gave Ella 14 bottles. Emily gave 12 bottles to Christopher.,Christopher has 20 bottles. Ella has 14 fewer bottles than Christopher. Emily has 12 more bottles than Ella. How many bottles does Emily have in total?,Christopher has 20 bottles. Christopher gave Ella 14 bottles. Emily gave 12 bottles to Christopher. How many bottles does Christopher have in his collection now?,18
How many meters of rope does Isabella have?,How many meters of rope does Mia have now?,Mia has 20 meters of rope. William has 16 meters of rope more than Mia. Matthew has 17 meters of rope more than William. Isabella has 18 meters of rope more than Matthew.,Mia has 20 meters of rope. William gave Mia 16 meters of rope. Matthew gave Mia 17 meters of rope. Isabella gave Mia 18 meters of rope.,Mia has 20 meters of rope. William has 16 meters more rope than Mia. Matthew has 17 meters more rope than William. Isabella has 18 meters more rope than Matthew. How many meters of rope does Isabella have?,Mia has 20 meters of rope. William gave Mia 16 meters of rope. Matthew gave Mia 17 meters of rope. Isabella gave Mia 18 meters of rope. How many meters of rope does Mia have now?,71
What is the number of red chairs that William has?,What is the number of red chairs that Logan has now?,Logan has 3 red chairs. William has 3 fewer red chairs than Logan.,Logan has 3 red chairs. Logan gave William 3 red chairs.,Logan has 3 red chairs. William has 3 fewer red chairs than Logan. What is the number of red chairs that William has?,Logan has 3 red chairs. Logan gave William 3 red chairs. What is the number of red chairs that Logan has now?,0
What is the number of small watchs that Michael has?,What is the number of small watchs that Jacob has now?,Jacob has 19 small watchs. Liam has 3 fewer small watchs than Jacob. Liam has 4 more small watchs than Nicholas. Nicholas has 3 more small watchs than John. John has 3 more small watchs than Nathan. Michael has 6 fewer small watchs than Nathan.,Jacob has 19 small watchs. Jacob gave Liam 3 small watchs. Jacob gave Nicholas 4 small watchs. Jacob gave John 3 small watchs. Jacob gave Nathan 3 small watchs. Jacob gave Michael 6 small watchs.,Jacob has 19 small watches. Liam has 3 fewer small watches than Jacob. Liam has 4 more small watches than Nicholas. Nicholas has 3 more small watches than John. John has 3 more small watches than Nathan. Michael has 6 fewer small watches than Nathan. What is the number of small watches that Michael has?,Jacob has 19 small watches. Jacob gave Liam 3 small watches. Jacob gave Nicholas 4 small watches. Jacob gave John 3 small watches. Jacob gave Nathan 3 small watches. Jacob gave Michael 6 small watches. What is the number of small watches that Jacob has now?,0
How many watchs does Charlotte have in total?,How many watchs does Elijah have in their collection now?,Elijah has 18 watchs. Elijah has 19 fewer watchs than Lily. Lily has 10 fewer watchs than Grace. Grace has 9 more watchs than David. David has 16 more watchs than Amelia. Charlotte has 7 more watchs than Amelia.,Elijah has 18 watchs. Lily gave 19 watchs to Elijah. Grace gave 10 watchs to Elijah. Elijah gave David 9 watchs. Elijah gave Amelia 16 watchs. Charlotte gave Elijah 7 watchs.,Elijah has 18 watches. Elijah has 19 fewer watches than Lily. Lily has 10 fewer watches than Grace. Grace has 9 more watches than David. David has 16 more watches than Amelia. Charlotte has 7 more watches than Amelia. How many watches does Charlotte have in total?,Elijah has 18 watches. Lily gave 19 watches to Elijah. Grace gave 10 watches to Elijah. Elijah gave David 9 watches. Elijah gave Amelia 16 watches. Charlotte gave Elijah 7 watches. How many watches does Elijah have in their collection now?,29
What is the number of small computers that Nathan has?,What is the number of small computers that William has now?,William has 7 small computers. William has 20 fewer small computers than Isabella. Isabella has 11 more small computers than Nathan.,William has 7 small computers. Isabella gave William 20 small computers. William gave Nathan 11 small computers.,William has 7 small computers. William has 20 fewer small computers than Isabella. Isabella has 11 more small computers than Nathan. What is the number of small computers that Nathan has?,William has 7 small computers. Isabella gave William 20 small computers. William gave Nathan 11 small computers. What is the number of small computers that William has now?,16
What is the number of large pots that Mia has?,What is the number of large pots that John has now?,John has 8 large pots. John has 18 fewer large pots than Elizabeth. James has 9 fewer large pots than Elizabeth. James has 17 fewer large pots than Scarlett. Scarlett has 15 more large pots than Mia.,John has 8 large pots. Elizabeth gave John 18 large pots. John gave James 9 large pots. Scarlett gave John 17 large pots. John gave Mia 15 large pots.,John has 8 large pots. John has 18 fewer large pots than Elizabeth. James has 9 fewer large pots than Elizabeth. James has 17 fewer large pots than Scarlett. Scarlett has 15 more large pots than Mia. What is the number of large pots that Mia has?,John has 8 large pots. Elizabeth gave John 18 large pots. John gave James 9 large pots. Scarlett gave John 17 large pots. John gave Mia 15 large pots. What is the number of large pots that John has now?,19
How many mugs does Layla have in total?,How many mugs does Amelia have in total now?,Amelia has 12 mugs. Layla has 9 more mugs than Amelia.,Amelia has 12 mugs. Layla gave Amelia 9 mugs.,Amelia has 12 mugs. Layla has 9 more mugs than Amelia. How many mugs does Layla have in total?,Amelia has 12 mugs. Layla gave Amelia 9 mugs. How many mugs does Amelia have in total now?,21
What is the number of red pans that Sophia has?,What is the number of red pans that Nathan has now?,Nathan has 20 red pans. Nathan has 8 fewer red pans than Chloe. James has 3 fewer red pans than Chloe. James has 13 more red pans than Henry. Sophia has 9 fewer red pans than Henry.,Nathan has 20 red pans. Chloe gave Nathan 8 red pans. Nathan gave James 3 red pans. Nathan gave Henry 13 red pans. Nathan gave Sophia 9 red pans.,Nathan has 20 red pans. Nathan has 8 fewer red pans than Chloe. James has 3 fewer red pans than Chloe. James has 13 more red pans than Henry. Sophia has 9 fewer red pans than Henry. What is the number of red pans that Sophia has?,Nathan has 20 red pans. Chloe gave Nathan 8 red pans. Nathan gave James 3 red pans. Nathan gave Henry 13 red pans. Nathan gave Sophia 9 red pans. What is the number of red pans that Nathan has now?,3
How many gallons of oil does Lucy have?,How many gallons of oil does Sophia have now?,Sophia has 20 gallons of oil. Jacob has 9 gallons of oil more than Sophia. Jacob has 7 gallons of oil more than Joseph. Joseph has 18 gallons of oil less than Lucy.,Sophia has 20 gallons of oil. Jacob gave Sophia 9 gallons of oil. Sophia gave Joseph 7 gallons of oil. Lucy gave Sophia 18 gallons of oil.,Sophia has 20 gallons of oil. Jacob has 9 gallons more oil than Sophia. Jacob has 7 gallons more oil than Joseph. Joseph has 18 gallons less oil than Lucy. How many gallons of oil does Lucy have?,Sophia has 20 gallons of oil. Jacob gave Sophia 9 gallons of oil. Sophia gave Joseph 7 gallons of oil. Lucy gave Sophia 18 gallons of oil. How many gallons of oil does Sophia have now?,40
What is the number of small plants that Henry has?,What is the number of small plants that Emily has now?,Emily has 13 small plants. Emily has 10 fewer small plants than Joseph. Joseph has 16 more small plants than Mason. Mason has 15 fewer small plants than Grace. Grace has 6 more small plants than Jacob. Jacob has 4 more small plants than Henry.,Emily has 13 small plants. Joseph gave Emily 10 small plants. Emily gave Mason 16 small plants. Grace gave Emily 15 small plants. Emily gave Jacob 6 small plants. Emily gave Henry 4 small plants.,Emily has 13 small plants. Emily has 10 fewer small plants than Joseph. Joseph has 16 more small plants than Mason. Mason has 15 fewer small plants than Grace. Grace has 6 more small plants than Jacob. Jacob has 4 more small plants than Henry. What is the number of small plants that Henry has?,Emily has 13 small plants. Joseph gave Emily 10 small plants. Emily gave Mason 16 small plants. Grace gave Emily 15 small plants. Emily gave Jacob 6 small plants. Emily gave Henry 4 small plants. What is the number of small plants that Emily has now?,12
What is the number of yellow keys that Olivia has?,What is the number of yellow keys that Elizabeth has now?,Elizabeth has 17 yellow keys. Olivia has 7 fewer yellow keys than Elizabeth.,Elizabeth has 17 yellow keys. Elizabeth gave Olivia 7 yellow keys.,Elizabeth has 17 yellow keys. Olivia has 7 fewer yellow keys than Elizabeth. What is the number of yellow keys that Olivia has?,Elizabeth has 17 yellow keys. Elizabeth gave Olivia 7 yellow keys. What is the number of yellow keys that Elizabeth has now?,10
How many vacuum cleaners does Grace have totaled?,How many vacuum cleaners does Mia have in total now?,Mia has 17 vacuum cleaners. Andrew has 10 fewer vacuum cleaners than Mia. Grace has 20 more vacuum cleaners than Andrew.,Mia has 17 vacuum cleaners. Mia gave 10 vacuum cleaners to Andrew. Grace gave 20 vacuum cleaners to Mia.,Mia has 17 vacuum cleaners. Andrew has 10 fewer vacuum cleaners than Mia. Grace has 20 more vacuum cleaners than Andrew. How many vacuum cleaners does Grace have in total?,Mia has 17 vacuum cleaners. Mia gave 10 vacuum cleaners to Andrew. Grace gave 20 vacuum cleaners to Mia. How many vacuum cleaners does Mia have in total now?,27
What is the number of blue blenders that Grace has?,What is the number of blue blenders that Nicholas has now?,Nicholas has 12 blue blenders. Alexander has 15 more blue blenders than Nicholas. Alexander has 19 fewer blue blenders than Ava. Sofia has 11 more blue blenders than Ava. Abigail has 8 fewer blue blenders than Sofia. Abigail has 18 more blue blenders than Grace.,Nicholas has 12 blue blenders. Alexander gave Nicholas 15 blue blenders. Ava gave Nicholas 19 blue blenders. Sofia gave Nicholas 11 blue blenders. Nicholas gave Abigail 8 blue blenders. Nicholas gave Grace 18 blue blenders.,Nicholas has 12 blue blenders. Alexander has 15 more blue blenders than Nicholas. Alexander has 19 fewer blue blenders than Ava. Sofia has 11 more blue blenders than Ava. Abigail has 8 fewer blue blenders than Sofia. Abigail has 18 more blue blenders than Grace. What is the number of blue blenders that Grace has?,Nicholas has 12 blue blenders. Alexander gave Nicholas 15 blue blenders. Ava gave Nicholas 19 blue blenders. Sofia gave Nicholas 11 blue blenders. Nicholas gave Abigail 8 blue blenders. Nicholas gave Grace 18 blue blenders. What is the number of blue blenders that Nicholas has now?,31
How many hairdryers does Lucy have totaled?,How many hairdryers does Amelia have now?,Amelia has 15 hairdryers. Evelyn has 8 more hairdryers than Amelia. Evelyn has 7 fewer hairdryers than Ryan. Ryan has 12 more hairdryers than Lucy.,Amelia has 15 hairdryers. Evelyn gave Amelia 8 hairdryers. Ryan gave 7 hairdryers to Amelia. Amelia gave Lucy 12 hairdryers.,Amelia has 15 hairdryers. Evelyn has 8 more hairdryers than Amelia. Evelyn has 7 fewer hairdryers than Ryan. Ryan has 12 more hairdryers than Lucy. How many hairdryers does Lucy have in total?,Amelia has 15 hairdryers. Evelyn gave Amelia 8 hairdryers. Ryan gave Amelia 7 hairdryers. Amelia gave Lucy 12 hairdryers. How many hairdryers does Amelia have now?,18
How many acres of farmland does David have?,How many acres of farmland does Henry have now?,Henry has 9 acres of farmland. Henry has 11 acres of farmland less than David.,Henry has 9 acres of farmland. David gave Henry 11 acres of farmland.,Henry has 9 acres of farmland. Henry has 11 acres less farmland than David. How many acres of farmland does David have?,Henry has 9 acres of farmland. David gave Henry 11 acres of farmland. How many acres of farmland does Henry have now?,20
How many shampoos does Joshua have in their collection?,How many shampoos does Michael have totaled now?,Michael has 6 shampoos. Michael has 6 fewer shampoos than Logan. John has 8 more shampoos than Logan. Charlotte has 16 fewer shampoos than John. Joshua has 11 more shampoos than Charlotte.,Michael has 6 shampoos. Logan gave Michael 6 shampoos. John gave Michael 8 shampoos. Michael gave 16 shampoos to Charlotte. Joshua gave Michael 11 shampoos.,Michael has 6 shampoos. Michael has 6 fewer shampoos than Logan. John has 8 more shampoos than Logan. Charlotte has 16 fewer shampoos than John. Joshua has 11 more shampoos than Charlotte. How many shampoos does Joshua have in his collection?,Michael has 6 shampoos. Logan gave Michael 6 shampoos. John gave Michael 8 shampoos. Michael gave 16 shampoos to Charlotte. Joshua gave Michael 11 shampoos. How many shampoos does Michael have now in total?,15
How many kilograms of gold does Mia have?,How many kilograms of gold does Hannah have now?,Hannah has 9 kilograms of gold. Mia has 6 kilograms of gold more than Hannah.,Hannah has 9 kilograms of gold. Mia gave Hannah 6 kilograms of gold.,Hannah has 9 kilograms of gold. Mia has 6 kilograms more gold than Hannah. How many kilograms of gold does Mia have?,Hannah has 9 kilograms of gold. Mia gave Hannah 6 kilograms of gold. How many kilograms of gold does Hannah have now?,15
How many rolls of toilet papers does Jonathan have?,How many rolls of toilet papers does Natalie have in all now?,Natalie has 19 rolls of toilet papers. Natalie has 18 fewer rolls of toilet papers than Emily. Emily has 20 more rolls of toilet papers than Chloe. Chloe has 2 more rolls of toilet papers than Michael. Michael has 19 fewer rolls of toilet papers than Jonathan.,Natalie has 19 rolls of toilet papers. Emily gave Natalie 18 rolls of toilet papers. Natalie gave 20 rolls of toilet papers to Chloe. Natalie gave Michael 2 rolls of toilet papers. Jonathan gave 19 rolls of toilet papers to Natalie.,Natalie has 19 rolls of toilet paper. Natalie has 18 fewer rolls of toilet paper than Emily. Emily has 20 more rolls of toilet paper than Chloe. Chloe has 2 more rolls of toilet paper than Michael. Michael has 19 fewer rolls of toilet paper than Jonathan. How many rolls of toilet paper does Jonathan have?,Natalie has 19 rolls of toilet paper. Emily gave Natalie 18 rolls of toilet paper. Natalie gave 20 rolls of toilet paper to Chloe. Natalie gave Michael 2 rolls of toilet paper. Jonathan gave 19 rolls of toilet paper to Natalie. How many rolls of toilet paper does Natalie have in total now?,34
How many pots does Elijah have?,How many pots does Lucy have in their collection now?,Lucy has 15 pots. Jacob has 3 fewer pots than Lucy. Sophia has 3 fewer pots than Jacob. Sophia has 17 fewer pots than William. William has 7 more pots than Joshua. Elijah has 7 more pots than Joshua.,Lucy has 15 pots. Lucy gave Jacob 3 pots. Lucy gave Sophia 3 pots. William gave Lucy 17 pots. Lucy gave 7 pots to Joshua. Elijah gave Lucy 7 pots.,Lucy has 15 pots. Jacob has 3 fewer pots than Lucy. Sophia has 3 fewer pots than Jacob. Sophia has 17 fewer pots than William. William has 7 more pots than Joshua. Elijah has 7 more pots than Joshua. How many pots does Elijah have?,Lucy has 15 pots. Lucy gave Jacob 3 pots. Lucy gave Sophia 3 pots. William gave Lucy 17 pots. Lucy gave 7 pots to Joshua. Elijah gave Lucy 7 pots. How many pots does Lucy have in her collection now?,26
How many kilograms of gold does Evelyn have?,How many kilograms of gold does Victoria have now?,Victoria has 7 kilograms of gold. Harper has 12 kilograms of gold more than Victoria. Evelyn has 12 kilograms of gold more than Harper.,Victoria has 7 kilograms of gold. Harper gave Victoria 12 kilograms of gold. Evelyn gave Victoria 12 kilograms of gold.,Victoria has 7 kilograms of gold. Harper has 12 kilograms more gold than Victoria. Evelyn has 12 kilograms more gold than Harper. How many kilograms of gold does Evelyn have?,Victoria has 7 kilograms of gold. Harper gave Victoria 12 kilograms of gold. Evelyn gave Victoria 12 kilograms of gold. How many kilograms of gold does Victoria have now?,31
How many chairs does David have in all?,How many chairs does Charlotte have in total now?,Charlotte has 10 chairs. Jonathan has 16 more chairs than Charlotte. Jonathan has 4 more chairs than David.,Charlotte has 10 chairs. Jonathan gave 16 chairs to Charlotte. Charlotte gave David 4 chairs.,Charlotte has 10 chairs. Jonathan has 16 chairs more than Charlotte. Jonathan has 4 chairs more than David. How many chairs does David have in total?,Charlotte has 10 chairs. Jonathan gave 16 chairs to Charlotte. Charlotte gave David 4 chairs. How many chairs does Charlotte have in total now?,22
How many gallons of oil does Matthew have?,How many gallons of oil does Harper have now?,Harper has 19 gallons of oil. Harper has 13 gallons of oil less than Lucy. Lucy has 6 gallons of oil less than Nathan. Chloe has 5 gallons of oil less than Nathan. Matthew has 13 gallons of oil more than Chloe.,Harper has 19 gallons of oil. Lucy gave Harper 13 gallons of oil. Nathan gave Harper 6 gallons of oil. Harper gave Chloe 5 gallons of oil. Matthew gave Harper 13 gallons of oil.,Harper has 19 gallons of oil. Harper has 13 gallons less oil than Lucy. Lucy has 6 gallons less oil than Nathan. Chloe has 5 gallons less oil than Nathan. Matthew has 13 gallons more oil than Chloe. How many gallons of oil does Matthew have?,Harper has 19 gallons of oil. Lucy gave Harper 13 gallons of oil. Nathan gave Harper 6 gallons of oil. Harper gave Chloe 5 gallons of oil. Matthew gave Harper 13 gallons of oil. How many gallons of oil does Harper have now?,46
What is the number of small forks that Benjamin has?,What is the number of small forks that Olivia has now?,Olivia has 19 small forks. Emily has 2 fewer small forks than Olivia. Elijah has 6 fewer small forks than Emily. Emma has 4 fewer small forks than Elijah. Jackson has 3 fewer small forks than Emma. Benjamin has 18 more small forks than Jackson.,Olivia has 19 small forks. Olivia gave Emily 2 small forks. Olivia gave Elijah 6 small forks. Olivia gave Emma 4 small forks. Olivia gave Jackson 3 small forks. Benjamin gave Olivia 18 small forks.,Olivia has 19 small forks. Emily has 2 fewer small forks than Olivia. Elijah has 6 fewer small forks than Emily. Emma has 4 fewer small forks than Elijah. Jackson has 3 fewer small forks than Emma. Benjamin has 18 more small forks than Jackson. What is the number of small forks that Benjamin has?,Olivia has 19 small forks. Olivia gave Emily 2 small forks. Olivia gave Elijah 6 small forks. Olivia gave Emma 4 small forks. Olivia gave Jackson 3 small forks. Benjamin gave Olivia 18 small forks. What is the number of small forks that Olivia has now?,22
How many kilograms of gold does Isabella have?,How many kilograms of gold does Mia have now?,Mia has 16 kilograms of gold. Mia has 2 kilograms of gold more than Matthew. Isabella has 9 kilograms of gold less than Matthew.,Mia has 16 kilograms of gold. Mia gave Matthew 2 kilograms of gold. Mia gave Isabella 9 kilograms of gold.,Mia has 16 kilograms of gold. Mia has 2 kilograms more gold than Matthew. Isabella has 9 kilograms less gold than Matthew. How many kilograms of gold does Isabella have?,Mia has 16 kilograms of gold. Mia gave Matthew 2 kilograms of gold. Mia gave Isabella 9 kilograms of gold. How many kilograms of gold does Mia have now?,5
What is the number of small umbrellas that Mila has?,What is the number of small umbrellas that Nicholas has now?,Nicholas has 14 small umbrellas. Nicholas has 6 more small umbrellas than Isabella. Isabella has 8 fewer small umbrellas than Christian. Christian has 5 fewer small umbrellas than Mila.,Nicholas has 14 small umbrellas. Nicholas gave Isabella 6 small umbrellas. Christian gave Nicholas 8 small umbrellas. Mila gave Nicholas 5 small umbrellas.,Nicholas has 14 small umbrellas. Nicholas has 6 more small umbrellas than Isabella. Isabella has 8 fewer small umbrellas than Christian. Christian has 5 fewer small umbrellas than Mila. What is the number of small umbrellas that Mila has?,Nicholas has 14 small umbrellas. Nicholas gave Isabella 6 small umbrellas. Christian gave Nicholas 8 small umbrellas. Mila gave Nicholas 5 small umbrellas. What is the number of small umbrellas that Nicholas has now?,21
What is the number of blue forks that Layla has?,What is the number of blue forks that Amelia has now?,Amelia has 11 blue forks. Amelia has 6 more blue forks than Ava. John has 5 fewer blue forks than Ava. Layla has 13 more blue forks than John.,Amelia has 11 blue forks. Amelia gave Ava 6 blue forks. Amelia gave John 5 blue forks. Layla gave Amelia 13 blue forks.,Amelia has 11 blue forks. Amelia has 6 more blue forks than Ava. John has 5 fewer blue forks than Ava. Layla has 13 more blue forks than John. What is the number of blue forks that Layla has?,Amelia has 11 blue forks. Amelia gave Ava 6 blue forks. Amelia gave John 5 blue forks. Layla gave Amelia 13 blue forks. What is the number of blue forks that Amelia has now?,13
How many meters of rope does Alexander have?,How many meters of rope does Hannah have now?,Hannah has 18 meters of rope. Sophia has 5 meters of rope less than Hannah. Sophia has 7 meters of rope more than William. William has 2 meters of rope more than Alexander.,Hannah has 18 meters of rope. Hannah gave Sophia 5 meters of rope. Hannah gave William 7 meters of rope. Hannah gave Alexander 2 meters of rope.,Hannah has 18 meters of rope. Sophia has 5 meters less rope than Hannah. Sophia has 7 meters more rope than William. William has 2 meters more rope than Alexander. How many meters of rope does Alexander have?,Hannah has 18 meters of rope. Hannah gave Sophia 5 meters of rope. Hannah gave William 7 meters of rope. Hannah gave Alexander 2 meters of rope. How many meters of rope does Hannah have now?,4
How many sofas does Olivia have?,How many sofas does Hannah have now?,Hannah has 20 sofas. David has 13 more sofas than Hannah. Olivia has 10 fewer sofas than David.,Hannah has 20 sofas. David gave 13 sofas to Hannah. Hannah gave 10 sofas to Olivia.,Hannah has 20 sofas. David has 13 more sofas than Hannah. Olivia has 10 fewer sofas than David. How many sofas does Olivia have?,Hannah has 20 sofas. David gave 13 sofas to Hannah. Hannah gave 10 sofas to Olivia. How many sofas does Hannah have now?,23
How many liters of milk does Michael have?,How many liters of milk does Ella have now?,Ella has 4 liters of milk. Ella has 2 liters of milk more than Henry. William has 2 liters of milk less than Henry. Matthew has 13 liters of milk more than William. Matthew has 4 liters of milk more than Jacob. Jacob has 2 liters of milk more than Michael.,Ella has 4 liters of milk. Ella gave Henry 2 liters of milk. Ella gave William 2 liters of milk. Matthew gave Ella 13 liters of milk. Ella gave Jacob 4 liters of milk. Ella gave Michael 2 liters of milk.,Ella has 4 liters of milk. Ella has 2 liters more milk than Henry. William has 2 liters less milk than Henry. Matthew has 13 liters more milk than William. Matthew has 4 liters more milk than Jacob. Jacob has 2 liters more milk than Michael. How many liters of milk does Michael have?,Ella has 4 liters of milk. Ella gave Henry 2 liters of milk. Ella gave William 2 liters of milk. Matthew gave Ella 13 liters of milk. Ella gave Jacob 4 liters of milk. Ella gave Michael 2 liters of milk. How many liters of milk does Ella have now?,7
How many paintings does Samuel have in all?,How many paintings does Chloe have in total now?,Chloe has 20 paintings. Jacob has 13 fewer paintings than Chloe. Jacob has 20 fewer paintings than Sophia. Sophia has 12 more paintings than James. James has 5 more paintings than Samuel.,Chloe has 20 paintings. Chloe gave 13 paintings to Jacob. Sophia gave Chloe 20 paintings. Chloe gave James 12 paintings. Chloe gave Samuel 5 paintings.,Chloe has 20 paintings. Jacob has 13 fewer paintings than Chloe. Jacob has 20 fewer paintings than Sophia. Sophia has 12 more paintings than James. James has 5 more paintings than Samuel. How many paintings does Samuel have in total?,Chloe has 20 paintings. Chloe gave 13 paintings to Jacob. Sophia gave Chloe 20 paintings. Chloe gave James 12 paintings. Chloe gave Samuel 5 paintings. How many paintings does Chloe have in total now?,10
